Date,_,Word,Number of  reported results,Number in hard mode,1_try,2_tries,3_tries,4_tries,5_tries,6_tries,X,1,2,3,4,5,6,7,-1,-2,-3,-4,-5,-6,-X
2022/1/7,0,slump,80630,1362,1,3,23,39,24,9,1,0.312365387,3.181818182,23.69945898,39.58019396,24,9.155407493,1.070755999,-0.343817307,0.045454546,0.029144124,0.014504849,0,0.015540749,0.035378
2022/1/8,1,crank,101503,1763,1,5,23,31,24,14,2,0.490105916,5.2,22.1534586,33.33199272,24,11.88157167,3.142871093,-0.254947042,0.033333333,-0.035272558,0.072874773,0,-0.141228555,0.380957031
2022/1/9,2,gorge,91477,1913,1,3,13,27,30,22,4,0.30900603,3.1,15.44180596,32.19056747,30,16.0325796,3.026040932,-0.345496985,0.025,0.174414711,0.18537741,0,-0.259453061,-0.194791814
2022/1/10,3,query,107134,2242,1,4,16,30,30,17,2,0.306603581,2.6,16.47718147,32.60964191,29,15.39094818,3.215624858,-0.34669821,-0.28,0.028069498,0.084181997,-0.032258065,-0.089391768,0.405208286
2022/1/11,4,drink,153880,3017,1,9,35,34,16,5,1,0.769046059,8.05,31.19804704,34.59073062,16,6.289160709,3.103015573,-0.115476971,-0.095,-0.105609804,0.016878018,0,0.214860118,1.051507787
2022/1/12,5,favor ,137586,3073,1,4,15,26,29,21,4,0.453239517,4.5,16.85173116,31.57987589,29,15.16503363,2.450119811,-0.273380242,0.1,0.115733198,0.20666207,0,-0.265225744,-0.309976038
2022/1/13,6,abbey,132726,3345,1,2,13,29,31,20,3,0.277293884,2.666666667,14.98207251,32.26701366,30.36363636,16.31610336,3.127213555,-0.361353058,0.222222222,0.141576608,0.108900455,-0.019886364,-0.17542365,0.031803389
2022/1/14,7,tangy,169484,3985,1,4,21,30,24,15,5,0.392348625,4,21.90375881,34.0185034,24,12.03218137,3.653207791,-0.303825688,0,0.041079946,0.129629142,0,-0.185488664,-0.224465368
2022/1/15,8,panic,205880,4655,1,9,35,34,16,5,1,0.841937854,8.75,29.44999666,33.33189205,17.85714286,7.37533513,2.393695449,-0.079031073,-0.025,-0.154166759,-0.019088799,0.109243698,0.395889188,0.696847725
2022/1/16,9,solar,209609,4955,1,9,32,32,18,7,1,0.866720384,9.1,29.36451082,33.1003966,18,7.429344336,2.239027857,-0.066639808,0.01,-0.079863308,0.033345352,0,0.053668042,0.619513929
2022/1/17,10,shire,222197,5640,1,8,32,32,18,8,2,0.769763909,8,28.76968586,33.64721581,18.33333333,7.793831178,2.686169913,-0.115118046,0,-0.097888307,0.049915631,0.017543859,-0.022907647,0.228723304
2022/1/18,11,proxy,220950,6206,1,2,11,24,31,26,6,0.213651188,2,14.15673066,32.45800372,31,16.82482073,3.346793704,-0.393174406,0,0.263060888,0.338320149,0,-0.339821454,-0.379029471
2022/1/19,12,point,280622,7094,1,16,37,28,12,4,1,1.536606724,16,37.32466241,30.80926845,12,2.525287895,-0.195825474,0.268303362,0,0.008543748,0.096871326,0,-0.294942421,-0.597912737
2022/1/20,13,robot,243964,6589,1,8,29,34,20,8,1,0.752044149,7.777777778,26.98857117,33.10131634,20,8.896685703,2.483604858,-0.123977926,-0.024691358,-0.067047628,-0.025676676,0,0.099631745,0.741802429
2022/1/21,14,prick,273727,7409,1,8,30,33,19,7,1,0.771365542,8,28.07943552,33.36783285,19,8.221585459,2.559780629,-0.114317229,0,-0.061953693,0.010818613,0,0.152698182,0.779890315
2022/1/22,15,wince,241489,6850,1,3,17,33,29,15,3,0.306603581,3,16.47718147,32.60964191,29,15.39094818,3.215624858,-0.34669821,0,-0.029045474,-0.01148112,0,0.024434261,0.053906215
2022/1/23,16,crimp,269929,7630,1,5,28,38,20,7,1,0.456980815,4.75,25.83431434,35.01873565,20.38461538,9.599479727,3.955874078,-0.271509593,-0.041666667,-0.074678816,-0.076442676,0.018315018,0.324934966,1.477937039
2022/1/24,17,knoll,258038,8317,1,1,11,29,33,21,4,0.220858536,2,11.05060413,31.20078042,34,18.74971499,2.778041926,-0.389570732,0.5,0.004217011,0.073359347,0.029411765,-0.102285682,-0.244391615
2022/1/25,18,sugar,276404,8708,1,6,25,34,23,9,1,0.631036035,6.5,24.98702512,33.29752848,21.625,10.13178249,2.82762787,-0.184481983,0.071428571,-0.000499034,-0.020070615,-0.057291667,0.113178249,0.913813935
2022/1/26,19,whack,302348,10163,1,4,22,37,24,10,2,0.392348625,4,21.90375881,34.0185034,24,12.03218137,3.653207791,-0.303825688,0,-0.0041844,-0.078460437,0,0.184743761,0.551069264
2022/1/27,20,mount,331844,11451,1,9,29,33,19,7,1,0.771365542,8,28.07943552,33.36783285,19,8.221585459,2.559780629,-0.114317229,-0.1,-0.030685483,0.010818613,0,0.152698182,0.779890315
2022/1/28,21,perky,296968,11148,1,4,17,30,27,17,4,0.301798682,3,18.54793249,33.44779078,27,14.10768534,3.594792711,-0.349100659,-0.2,0.085996249,0.111219057,0,-0.160684148,-0.081041458
2022/1/29,22,could,313220,11592,1,7,29,35,20,8,1,0.6760107,7,26.79436022,33.6352691,20,9.013826582,2.880533401,-0.16199465,0,-0.073521326,-0.037909192,0,0.112647398,0.940266701
2022/1/30,23,wrung,294687,11524,0,2,18,39,27,12,2,0.204041391,2,18.2982327,34.13430146,27,14.25829504,4.105129409,0.204041391,0,0.015696458,-0.121642464,0,0.173715003,0.701709803
2022/1/31,24,light,341314,13347,1,10,25,27,19,12,5,0.966880124,10,28.5788351,31.99481149,19,7.920366056,1.539107232,-0.016559938,0,0.137647504,0.178386125,0,-0.313817996,-0.576815461
2022/2/1,25,those,351663,13606,1,13,34,30,15,6,1,1.250542199,13,33.46943651,31.61157718,15,4.902011264,0.766432842,0.1252711,0,-0.015158957,0.051986361,0,-0.156855534,-0.116783579
2022/2/2,26,moist,361908,14205,3,13,32,29,16,7,1,1.255003891,13,31.54659628,30.83329609,16.85714286,6.093612476,0.414348408,-0.436249027,0,-0.013739507,0.06110987,0.050420168,-0.113298441,-0.292825796
2022/2/3,27,shard,358176,14609,1,7,22,28,25,14,4,0.6863271,7,22.34833597,31.83571417,24.29411765,11.76906739,2.066437718,-0.15683645,0,0.015145042,0.132266006,-0.027149321,-0.148728841,-0.386712456
2022/2/4,28,pleat,359679,14813,1,10,28,31,19,9,2,0.912491385,9.413793103,27.17521767,31.88837268,20.21428571,8.78777837,1.608061071,-0.043754308,-0.053291536,-0.02844077,0.027761646,0.060714285,-0.021222163,-0.13064631
2022/2/5,29,aloft,319698,13708,1,4,22,36,25,11,2,0.402165837,4.125,22.97034679,34.351764,23,11.37172374,3.77899963,-0.298917082,0.025,0.042188991,-0.044546919,-0.076923077,0.030976978,0.592999877
2022/2/6,30,skill,311018,13716,1,3,17,33,27,16,3,0.322379164,3.210526316,18.60050087,33.30326221,27,14.07597803,3.487353406,-0.338810418,0.052631579,0.088916715,0.008919477,0,-0.113177763,0.121838352
2022/2/7,31,elder,288228,13340,1,3,13,24,30,24,5,0.307204193,3,16.21833759,32.5048733,29.25,15.55135604,3.168228877,-0.346397904,0,0.229881256,0.340194932,-0.024193548,-0.337945758,-0.305295187
2022/2/8,32,frame,336236,15369,1,10,20,24,24,17,3,0.976489921,10,24.43733306,30.31851375,23,10.48689174,0.780771527,-0.01175504,0,0.211301574,0.25274055,-0.04,-0.361839348,-0.554807118
2022/2/9,33,humor,305372,13846,1,5,22,34,25,11,2,0.565826333,5.75,21.30535793,32.39803527,25,12.41024582,2.570534643,-0.217086834,0.125,-0.030201829,-0.045770421,0,0.117520485,0.190178214
2022/2/10,34,pause,304830,13480,1,8,26,32,21,10,2,0.650975492,6.666666667,23.45708964,32.54701491,23.14285714,11.08058571,2.454810437,-0.174512254,-0.148148148,-0.094181865,0.016576209,0.097402597,0.098235065,0.151603479
2022/2/11,35,ulcer,278826,10631,1,4,18,30,28,16,3,0.401958422,4,17.76225677,32.34220566,28,14.59870706,2.894872086,-0.299020789,0,-0.012512802,0.075555021,0,-0.082428996,-0.026281979
2022/2/12,36,ultra,269885,9310,1,7,23,34,24,10,1,0.650632285,6.666666667,23.60500043,32.60688269,23,10.98892408,2.481893855,-0.174683858,-0.041666667,0.025208351,-0.039803352,-0.04,0.089902189,0.740946928
2022/2/13,37,robin,277471,3249,1,6,29,34,21,8,1,0.59075897,6.092307692,25.06716542,33.65105531,21.44927536,10.08043446,3.069002783,-0.204620515,0.013186813,-0.131094486,-0.009969848,0.020421607,0.231159384,1.034501392
2022/2/14,38,cynic,261521,10343,1,6,25,33,22,11,2,0.534179663,5.5,24.34905952,33.82688625,22,10.52300398,3.266870596,-0.232910169,-0.071428571,-0.025036172,0.024320184,0,-0.039749668,0.422290199
2022/2/15,39,aroma,287836,10343,1,6,25,33,22,11,2,0.582114489,6,24.88066408,33.64826729,21.60714286,10.19562964,3.086181647,-0.208942756,0,-0.004589843,0.019066685,-0.017080745,-0.067030863,0.362060549
2022/2/16,40,caulk,289721,10740,1,4,20,31,26,15,3,0.397153524,4,19.83300779,33.18035453,26,13.31544422,3.274039939,-0.301423238,0,-0.00795201,0.068136079,0,-0.105284736,0.068509985
2022/2/17,41,shake,342003,12767,1,6,16,23,24,21,9,0.586421737,6,23.0243837,32.8969267,23.4,11.34598312,2.74628475,-0.206789132,0,0.413199041,0.412371946,-0.024,-0.438818949,-0.625371525
2022/2/18,42,dodge,265238,10220,1,3,15,29,27,19,7,0.301798682,3,18.54793249,33.44779078,27,14.10768534,3.594792711,-0.349100659,0,0.221745781,0.148259693,0,-0.244615733,-0.425650911
2022/2/19,43,swill,282327,11241,1,1,8,19,31,30,10,0.213651188,2,14.15673066,32.45800372,31,16.82482073,3.346793704,-0.393174406,0.5,0.684081184,0.672900186,0,-0.425005783,-0.604836936
2022/2/20,44,tacit,273306,11094,1,4,21,32,26,14,3,0.205757426,2,17.55867876,33.83496258,27.71428571,14.7166032,3.969712319,-0.397121287,-0.4,-0.156423693,0.055604927,0.063492063,0.047773547,0.24242808
2022/2/21,45,other,278731,10887,1,9,26,30,21,10,2,0.873927731,9,26.25838429,31.8431733,21,9.3542386,1.670276078,-0.063036135,0,0.009569789,0.059457203,0,-0.058705582,-0.109907974
2022/2/22,46,thorn,306356,11814,1,14,38,30,12,4,0,1.341092142,14,36.82526283,32.18228981,12,2.826507298,0.824847922,0.170546071,0,-0.030121466,0.070396445,0,-0.23469854,0.824847922
2022/2/23,47,trove,277576,11411,1,5,16,24,25,22,8,0.542243138,5.533333333,22.28663182,32.96585369,24,11.8012465,2.87069152,-0.228878431,0.088888889,0.369801872,0.358634148,-0.038461538,-0.443424065,-0.569923164
2022/2/24,48,bloke,250674,10405,1,6,21,32,25,12,2,0.590265656,6,21.36778288,32.2264076,25,12.37259339,2.442950468,-0.204867172,0,0.016717404,0.006860836,0,0.02866103,0.147650156
2022/2/25,49,vivid,255907,11687,1,2,10,29,33,21,4,0.218456087,2,12.08597964,31.61985485,33,18.10808357,2.967625852,-0.390771957,0,0.189634513,0.087328495,0,-0.131450747,-0.20647483
2022/2/26,50,spill,248363,10087,1,5,26,34,22,10,2,0.486101834,5,23.87908445,34.03045011,22.33333333,10.81218597,3.458844303,-0.256949083,0,-0.078552428,0.000870003,0.014492753,0.073835088,0.486281434
2022/2/27,51,chant,250413,10438,1,9,33,33,16,7,1,0.861915485,9,31.43526184,33.93854547,16,6.146081493,2.618195709,-0.069042258,0,-0.046021711,0.027604279,0,-0.106739813,0.809097855
2022/2/28,52,choke,251094,10521,1,8,30,36,18,6,1,0.697866881,7.272727273,28.93321118,34.28618778,18,7.689488366,3.120518518,-0.15106656,-0.080808081,-0.034412543,-0.046319249,0,0.241355481,1.060259259
2022/3/1,53,rupee,240137,10577,1,2,17,35,30,13,2,0.211248739,2,15.19210617,32.87707815,30,16.18318931,3.536377631,-0.394375631,0,-0.100438546,-0.058970051,0,0.227370665,0.512125877
2022/3/2,54,nasty,257304,10813,1,7,26,31,21,11,2,0.672614987,6.909090909,24.40508765,32.73979474,22.28571429,10.49410448,2.493592958,-0.163692507,-0.011363636,-0.059070828,0.054368586,0.058441559,-0.04215796,0.164530986
2022/3/3,55,mourn,240018,10465,1,8,29,34,19,8,1,0.6760107,7,26.79436022,33.6352691,20,9.013826582,2.880533401,-0.16199465,-0.111111111,-0.073521326,-0.010420883,0.05,0.112647398,0.940266701
2022/3/4,56,ahead,203730,9396,1,5,20,35,26,12,2,0.497313264,5,19.04733207,32.07476942,27,13.80646594,2.574119314,-0.251343368,0,-0.04536514,-0.081256405,0.037037037,0.138958918,0.191373105
2022/3/5,57,brine,229895,10405,1,9,25,29,22,12,3,0.876330181,9,25.22300878,31.42409886,22,9.995870022,1.480692152,-0.06183491,0,0.008577261,0.080803295,0,-0.154163844,-0.379826962
2022/3/6,58,cloth,218595,9911,1,8,33,34,17,7,1,0.674913183,7.0625,29.91609299,34.84958548,17,7.079519211,3.417389136,-0.162543409,-0.104166667,-0.090703147,0.024273871,0,0.009939901,1.208694568
2022/3/7,59,hoard,218595,9823,1,9,30,34,19,7,1,0.777015159,8.05,27.76363071,33.20063006,19.31707317,8.417499083,2.474151817,-0.111492421,-0.095,-0.072140945,-0.022839141,0.015853659,0.177187385,0.737075909
2022/3/8,60,sweet,207473,9767,1,5,18,31,28,15,2,0.499715713,5,18.01195656,31.65569498,28,14.44809736,2.384535388,-0.250142144,0,0.000629293,0.020490468,0,-0.034493915,0.128178463
2022/3/9,61,month,201799,9435,1,5,26,37,22,8,1,0.585460757,6,23.4385339,33.06455647,23,11.08933055,2.822118321,-0.207269622,0.166666667,-0.094869115,-0.103564303,0.043478261,0.34325895,0.911059161
2022/3/10,62,lapse,208884,9960,0,8,31,34,19,7,1,0.771365542,8,28.07943552,33.36783285,19,8.221585459,2.559780629,0.771365542,0,-0.09126764,-0.018061919,0,0.152698182,0.779890315
2022/3/11,63,watch,226349,12400,1,6,14,18,17,24,20,0.64436403,6.75,29.8380618,35.06412007,17,7.126584743,3.576869354,-0.177817985,0.107142857,1.055870787,0.898111583,0,-0.67493661,-0.78205384
2022/3/12,64,today,192049,9353,1,7,29,35,20,7,1,0.634114719,6.571428571,26.68734602,33.92948796,20,9.078373597,3.099249129,-0.182942641,-0.053571429,-0.077088466,-0.029736446,0,0.2597967,1.049624565
2022/3/13,65,focus,179436,8937,1,4,23,36,24,10,1,0.492508365,5,21.11808309,32.91291828,25,12.52320309,2.953287167,-0.253745818,0.2,-0.078413205,-0.083434641,0.04,0.229382099,0.976643584
2022/3/14,66,smelt,185406,9373,0,5,19,33,28,13,2,0.595070555,6,19.29703186,31.38825873,27,13.65585623,2.063782616,0.595070555,0.166666667,0.014851593,-0.047404155,-0.034482759,0.046846874,0.021260872
2022/3/15,67,tease,202855,10024,1,16,32,30,16,6,1,1.546216521,16,33.18316037,29.13297071,16,5.091813581,-0.954161179,0.273108261,0,0.035853345,-0.027968687,0,-0.129740917,-0.97708059
2022/3/16,68,cater,217856,11234,1,7,19,22,19,18,15,0.693159709,7.2,27.87967569,33.91704139,19,8.34207322,2.968049988,-0.153420146,0.025,0.443983785,0.518132234,0,-0.508311936,-0.751996876
2022/3/17,69,movie,169071,8847,1,5,18,30,26,16,3,0.60075797,6.111111111,21.55481584,32.21460163,24.84615385,12.25714645,2.415413149,-0.199621015,0.185185185,0.187095571,0.071438762,-0.042735043,-0.220167856,-0.146146713
2022/3/18,70,saute,179830,9304,1,8,31,34,19,6,1,0.768963093,8,29.11481103,33.78690728,18,7.579954038,2.749364555,-0.115518454,0,-0.058912155,-0.006088363,-0.05,0.22570772,0.874682278
2022/3/19,71,allow,156311,8515,0,5,21,32,26,14,3,0.455807898,4.6,19.98282766,32.76844812,26,13.2250784,2.96783792,0.455807898,-0.066666667,-0.046235106,0.023286307,0,-0.05166144,-0.00804052
2022/3/20,72,renew,154987,8417,0,4,20,33,27,13,2,0.301798682,3,18.54793249,33.44779078,27,14.10768534,3.594792711,0.301798682,-0.2,-0.069146072,0.013170317,0,0.079120381,0.53159757
2022/3/21,73,their,173636,9200,2,14,36,30,13,4,0,1.343494591,14,35.78988732,31.76321537,13,3.46813872,0.635263996,-0.218835136,0,-0.005678721,0.056877915,0,-0.106372256,0.635263996
2022/3/22,74,slosh,160161,8807,0,2,19,36,27,13,2,0.206604004,2,17.19383216,33.68728873,28.06666667,14.94270189,3.902906555,0.206604004,0,-0.090308392,-0.06250571,0.038095238,0.138764421,0.634302185
2022/3/23,75,purge,156785,8555,1,4,22,35,26,11,2,0.396192544,4,20.24715799,33.3479843,25.6,13.05879165,3.349873509,-0.301903728,0,-0.076210522,-0.045889325,-0.014814815,0.171565971,0.449957836
2022/3/24,76,chest,169066,9318,1,14,35,31,14,5,1,1.346697857,14,34.40938664,31.20444946,14.33333333,4.323647282,0.382485428,0.173348929,0,-0.016405927,0.006389046,0.022222222,-0.112725453,-0.308757286
2022/3/25,77,depot,150197,8562,0,5,29,36,20,7,1,0.482898568,5,25.25958513,34.58921602,21,9.956677407,3.711622872,0.482898568,0,-0.124680496,-0.038129297,0.047619048,0.369584676,1.355811436
2022/3/26,78,epoxy,149507,9376,0,2,13,31,33,18,3,0.313810929,3,13.37105494,31.3524186,32,17.31584245,2.64687308,0.313810929,0.333333333,0.026503924,0.011013081,-0.029411765,-0.036008292,-0.08828173
2022/3/28,79,found,173696,10613,1,6,17,22,20,21,14,0.589115331,6.111111111,26.57240485,34.24550081,20,9.147701873,3.334166022,-0.205442335,0.015873016,0.531800269,0.532413079,0,-0.538740824,-0.711055599
2022/3/29,80,shall,149070,8494,0,3,17,30,28,17,4,0.387993095,3.857142857,17.72658537,32.44027862,28,14.62022273,2.967777329,0.387993095,0.214285714,0.040365854,0.078718665,0,-0.132209848,-0.206444534
2022/3/30,81,stove,158139,9318,0,5,16,24,27,21,6,0.59045046,6,21.28813861,32.19417111,25.07692308,12.42194965,2.428367089,0.59045046,0.166666667,0.311066977,0.327766844,-0.068681319,-0.38991138,-0.510233273
2022/3/31,82,lowly,135219,8469,0,2,9,26,32,24,8,0.216053638,2,13.12135515,32.03892928,32,17.46645215,3.157209778,0.216053638,0,0.412135515,0.223664047,0,-0.261341914,-0.538087802
2022/4/1,83,snout,144648,8913,1,4,19,27,26,18,5,0.492379341,5.023255814,22.15926557,33.31602735,24,11.87806912,3.131002798,-0.25381033,0.204651163,0.157963279,0.225572405,-0.074074074,-0.322206888,-0.311499534
2022/4/2,84,trope,155079,9315,1,16,33,28,15,6,1,1.547932556,16,32.44360643,28.83363183,16.71428571,5.550121739,-1.089578269,0.273966278,0,-0.016364517,0.028745925,0.107142857,-0.064268323,-1.044789135
2022/4/3,85,fewer,124532,7931,0,2,10,24,32,26,6,0.215710431,2,13.26926594,32.09879706,31.85714286,17.37479052,3.184293196,0.215710431,0,0.297205995,0.323951882,-0.004329004,-0.319452203,-0.402243829
2022/4/4,86,shawl,129651,7943,0,3,16,31,30,16,3,0.341591794,3.333333333,15.52503922,31.96173058,30,15.98237637,2.855928699,0.341591794,0.083333333,-0.027938869,0.030054081,0,-0.001036684,-0.036017825
2022/4/5,87,natal,121356,7702,0,2,14,32,32,17,3,0.311888969,3,14.19935535,31.68767815,31.2,16.80253731,2.798540221,0.311888969,0.333333333,0.013290357,-0.009464298,-0.024242424,-0.010970149,-0.050364945
2022/4/6,88,comma,117856,7560,0,2,13,33,33,17,3,0.316213378,3,12.33567943,30.93334417,33,17.95747387,2.457289153,0.316213378,0.333333333,-0.047451469,-0.060783995,0,0.053192993,-0.135677712
2022/4/7,89,foray,117761,7575,0,2,14,31,31,19,4,0.311408479,3,14.40643045,31.77149304,31,16.67421103,2.836457006,0.311408479,0.333333333,0.027095363,0.024109158,0,-0.116289449,-0.232708599
2022/4/8,90,scare,141158,9010,1,12,23,26,21,13,4,1.167199604,12,27.00748366,29.78364126,21,8.902409495,0.139265983,0.083599802,0,0.166978486,0.140134861,0,-0.292685036,-0.772146803
2022/4/9,91,stair,134210,8537,2,21,36,26,11,4,1,2.022990729,21,39.60853687,27.79578948,11,1.130607964,1,0.007663576,0,0.097528024,0.066510721,0,-0.573878407,0
2022/4/10,92,black,126241,7894,1,10,31,34,18,6,1,0.886271842,9.2,29.41445078,32.96309447,18,7.399222395,2.136960517,-0.056864079,-0.072727273,-0.049548413,-0.029625872,0,0.199888914,0.568480259
2022/4/11,93,squad,109828,7236,0,3,20,33,27,14,2,0.340903421,3.416666667,19.35335748,33.44563379,26.32258065,13.61027775,3.510580241,0.340903421,0.104166667,-0.030792501,0.013106876,-0.024193548,-0.025981483,0.503526747
2022/4/12,94,royal,114907,7275,1,5,24,36,23,9,1,0.487436528,5,23.30387583,33.79763098,22.88888889,11.16864787,3.3535199,-0.256281736,0,-0.027844967,-0.059523487,-0.00462963,0.216864787,1.17675995
2022/4/13,95,chunk,123255,7835,1,4,29,42,18,5,1,0.377933929,4,28.11601187,36.53295001,18,8.182392845,4.790711349,-0.311033036,0,-0.029466271,-0.127140697,0,0.530398808,1.895355675
2022/4/14,96,mince,113448,7356,0,6,24,35,24,10,1,0.587863207,6,22.40315839,32.64548204,24,11.73096197,2.632534394,0.587863207,0,-0.063873664,-0.065403277,0,0.157360179,0.816267197
2022/4/15,97,shame,129991,8522,1,11,22,25,21,15,5,0.980312029,10.10526316,27.2511667,31.37452679,20.30769231,8.743568877,1.237470138,-0.009843985,-0.074561403,0.228311596,0.245174107,-0.031468531,-0.391026945,-0.62708831
2022/4/16,98,cheek,107987,7035,0,3,19,40,28,9,1,0.208214066,2,16.49994892,33.40643533,28.73684211,15.37270751,3.775852064,0.208214066,-0.25,-0.125002554,-0.16081865,0.025408349,0.637270751,1.387926032
2022/4/17,99,ample,106681,7008,0,4,20,35,27,11,2,0.494910814,5,20.08270758,32.49384385,26,13.16483451,2.76370324,0.494910814,0.2,0.003938456,-0.069615449,-0.035714286,0.180402876,0.254567747
2022/4/18,100,flair,112383,7341,1,8,30,36,18,6,1,0.770164317,8,28.59712328,33.57737007,18.5,7.900769748,2.654572592,-0.114917842,0,-0.045254088,-0.065476485,0.026315789,0.271538535,0.827286296
2022/4/19,101,foyer,108899,8198,0,2,10,19,19,23,26,0.252254453,2.666666667,25.77323224,36.63480015,19.94117647,9.628725598,5.103144423,0.252254453,0.222222222,1.433930204,0.881740008,0.047058823,-0.557136433,-0.773957614
2022/4/20,102,cargo,102007,6796,0,5,20,34,27,12,2,0.525459968,5.3125,20.16073876,32.27930926,26,13.11776898,2.604223022,0.525459968,0.052083333,0.007654227,-0.049162593,-0.035714286,0.085982229,0.201407674
2022/4/21,103,oxide,97955,6960,0,2,11,30,33,21,4,0.288282723,2.714285714,12.26433663,31.12949008,33,18.00050521,2.603099639,0.288282723,0.238095238,0.105361386,0.036435164,0,-0.136340672,-0.279380072
2022/4/22,104,plant,119232,7731,2,19,39,28,10,3,0,1.825073698,19,40.1445128,29.58788527,10,0.790195946,1.347667717,-0.058308767,0,0.02861282,0.054754664,0,-0.552451014,1.347667717
2022/4/23,105,olive,95562,6482,1,6,25,34,23,10,1,0.583973527,6,24.07948064,33.3239835,22.38095238,10.69213014,2.939479799,-0.208013237,0,-0.035404591,-0.019314757,-0.025793651,0.062920922,0.9697399
2022/4/24,106,inert,97452,6743,0,7,27,34,22,9,1,0.680815599,7,24.7236092,32.79712023,22,10.29708943,2.501365549,0.680815599,0,-0.081299671,-0.034367993,0,0.129708943,0.750682775
2022/4/25,107,askew,91548,6549,0,3,13,29,32,19,4,0.313810929,3,13.37105494,31.3524186,32,17.31584245,2.64687308,0.313810929,0,0.026503924,0.078413953,0,-0.084207877,-0.270625384
2022/4/26,108,heist,103153,6830,1,13,32,31,16,6,1,1.25694873,13,30.70843515,30.49404536,17.66666667,6.613028388,0.260875706,0.128474365,0,-0.039138329,-0.015811083,0.098039216,0.087575484,-0.369562147
2022/4/27,109,shown,98967,6564,0,6,26,36,22,8,1,0.582134289,6,24.87213076,33.64481338,21.61538462,10.20091781,3.084619142,0.582134289,0,-0.041772935,-0.063653692,-0.016722408,0.244546423,1.042309571
2022/4/28,110,zesty,88974,6315,0,2,12,27,30,22,7,0.210768249,2,15.39918127,32.96089304,29.8,16.05486302,3.574294416,0.210768249,0,0.261475482,0.212889037,-0.006451613,-0.258484217,-0.428213198
2022/4/30,111,larva,77991,5749,0,2,10,25,35,23,4,0.220858536,2,11.05060413,31.20078042,34,18.74971499,2.778041926,0.220858536,0,0.095509466,0.238491555,-0.027777778,-0.177095209,-0.244391615
2022/5/1,112,forgo,77658,5699,0,1,9,26,37,23,3,0.228065884,2,7.944477601,29.94355711,37,20.67460926,2.209290147,0.228065884,0.5,-0.10555224,0.146057671,0,-0.096891281,-0.197677463
2022/5/2,113,story,95643,6530,1,10,23,29,24,11,2,0.978652125,10,23.5054951,29.94134676,23.9,11.06436002,0.610145994,-0.010673938,0,0.021062296,0.031378225,-0.004,0.005363335,-0.463284669
2022/5/3,114,hairy,85817,5941,1,8,24,33,23,10,1,0.707657371,7.25,23.75065864,32.20641812,23,10.90106842,2.184197448,-0.146171315,-0.083333333,-0.009973654,-0.023340644,0,0.081915311,0.592098724
2022/5/4,115,train,107750,7243,6,26,32,22,10,3,0,2.509374734,26,41.89241133,24.78231051,10,-0.264071966,-4.920024605,-0.498660752,0,0.29977004,0.120970022,0,-0.816017992,-4.920024605
