1 try,2_tries,3_tries,4 tries,5 tries,6 tries,7 or more tries (X),rank,repet,word_likely,place_lottary,letter_lottary,ranking
0,2,17,37,29,12,2,2896,0,12,5.83E-03,2.18E-07,124000
0,4,21,38,26,9,1,926,0,36,9.54E-04,7.56E-07,295000
0,2,16,38,30,12,2,2502,0,8,3.93E-04,8.64E-08,166000
0,3,21,40,25,9,1,812,0,22,2.92E-05,3.06E-07,10500
0,2,17,35,29,14,3,1188,1,2,1.42E-03,3.77E-07,787000
0,2,8,16,26,33,14,430,0,7,4.18E-03,1.18E-08,1760000
1,5,20,35,28,10,1,248,0,44,4.36E-05,2.48E-07,11190000
2,11,34,32,15,6,1,328,0,43,1.63E-03,1.10E-06,39600
0,7,26,35,20,10,3,852,1,14,4.24E-04,2.37E-06,307000
0,1,13,34,34,15,2,709,1,1,8.16E-05,1.53E-07,3030000
0,5,32,40,17,4,0,1679,0,15,6.19E-04,6.51E-07,622000
1,10,47,32,9,2,0,164,0,19,1.14E-03,2.71E-07,10190000
6,14,33,27,13,5,1,1631,0,118,9.92E-04,2.86E-06,450000
0,8,28,30,20,11,3,2866,0,72,7.49E-04,1.09E-06,493000
0,7,39,38,13,3,0,1810,0,19,1.59E-03,1.98E-07,573000
0,7,27,35,22,8,1,1524,0,31,3.73E-04,2.83E-07,973000
0,3,20,39,27,10,1,617,1,7,1.33E-05,4.41E-07,11440000
0,6,31,38,19,5,0,813,0,30,6.75E-04,3.23E-07,2290000
0,5,28,38,22,7,1,206,1,6,3.53E-04,9.26E-08,23550000
1,7,24,32,24,11,1,2395,0,37,4.48E-04,4.43E-07,349000
0,3,18,43,27,8,1,1359,1,1,3.38E-04,4.92E-08,1230000
0,10,36,35,14,3,0,3281,0,34,2.12E-03,3.50E-07,495000
0,3,19,33,26,14,3,3081,0,44,3.53E-05,4.49E-07,522000
0,6,29,34,21,8,2,1074,0,10,2.34E-03,4.54E-08,12600
0,6,22,33,24,12,3,844,0,40,1.14E-04,4.89E-07,1060000
0,2,10,25,36,23,4,476,0,13,2.09E-03,1.07E-07,45600
2,17,32,29,15,5,1,2994,0,59,7.06E-05,1.81E-06,314000
0,4,35,36,17,6,1,2440,1,18,3.21E-04,1.65E-06,1580000
0,6,30,33,19,9,2,1709,0,22,1.14E-03,1.84E-07,46700
0,2,11,35,36,14,2,3359,1,1,1.15E-05,1.08E-07,156000
0,6,30,33,19,10,2,93,0,6,9.99E-04,1.40E-07,11480000
0,3,19,35,29,13,2,2772,1,8,4.72E-05,2.19E-07,123000
0,10,38,35,13,3,0,763,0,28,5.20E-04,3.84E-07,13400
0,6,28,39,19,6,1,233,1,1,1.65E-03,4.80E-08,10200000
0,8,28,40,18,5,1,2988,0,13,4.79E-05,9.41E-08,1540000
5,13,25,27,19,10,2,1558,0,66,8.33E-04,8.41E-07,481000
1,12,32,30,18,6,1,146,0,38,1.02E-03,2.18E-07,10410000
1,10,26,32,21,9,1,350,0,27,1.92E-03,3.82E-07,5320000
0,5,19,33,27,13,3,2667,0,12,8.32E-05,7.30E-08,76700
1,6,17,27,27,18,5,1354,0,32,1.65E-03,2.01E-07,763000
0,7,26,35,22,9,1,652,0,50,5.73E-05,4.97E-07,148000
0,2,23,49,20,5,1,748,0,2,4.06E-04,2.39E-08,68500
0,14,35,33,14,4,0,4,1,13,4.25E-04,1.37E-06,22420000
0,5,16,23,24,22,10,680,0,35,1.54E-03,2.99E-07,1120000
0,5,21,31,24,15,4,1877,0,34,1.81E-04,1.88E-06,29500
1,6,26,36,21,8,1,922,0,43,1.16E-03,4.59E-07,693000
0,8,25,30,21,13,3,1953,1,12,8.75E-05,2.06E-06,12100
0,4,22,38,25,9,1,2260,0,36,2.08E-03,3.98E-07,205000
0,5,25,38,23,8,1,1074,0,50,3.55E-04,6.36E-07,813000
1,11,31,33,18,5,1,1878,0,30,1.28E-04,6.72E-07,988000
1,16,38,31,11,3,1,2038,0,29,2.81E-03,5.67E-07,735000
0,4,24,37,24,9,1,1015,1,13,1.37E-04,8.22E-07,3250000
0,6,26,36,23,7,1,308,0,22,1.96E-03,1.96E-07,8610000
2,19,30,27,15,6,2,3147,0,118,3.06E-04,2.86E-06,8610000
5,14,31,29,15,4,1,402,0,62,1.01E-04,7.95E-07,5180000
0,5,34,43,15,3,0,47,1,1,1.06E-03,2.09E-07,20460000
1,18,31,30,15,4,1,1647,0,19,3.02E-04,4.12E-07,381000
0,6,30,39,20,6,1,3072,0,30,2.19E-05,5.89E-07,19900
0,1,14,37,33,14,2,2654,0,10,1.06E-02,2.52E-07,15300
0,3,26,41,23,7,1,1047,0,21,4.71E-04,1.95E-07,67600
0,2,11,29,35,19,3,2479,0,1,2.49E-03,1.61E-08,88500
0,3,15,32,32,16,2,3499,1,4,6.65E-04,4.91E-07,33700
0,7,28,36,21,7,1,2139,0,54,1.30E-04,9.37E-07,624000
0,4,22,35,24,12,3,406,1,10,5.04E-03,4.23E-07,5680000
0,6,28,37,21,7,1,502,0,14,1.20E-03,1.11E-07,18200
0,2,13,35,32,15,3,94,1,2,1.12E-02,1.35E-08,140000
0,7,27,35,22,8,1,757,0,16,3.06E-03,1.52E-07,1210000
0,1,4,14,27,37,18,2374,2,0,6.20E-03,2.00E-08,478000
0,7,32,36,19,6,1,3603,0,63,5.27E-04,9.06E-07,598000
0,4,18,30,28,17,3,667,0,34,9.03E-04,1.42E-07,934000
0,5,29,40,20,5,0,1432,0,37,3.73E-04,4.31E-07,1620000
0,3,23,39,24,9,2,732,0,3,5.61E-03,4.73E-09,1620000
0,5,24,38,23,8,1,484,0,36,6.62E-05,2.09E-07,5910000
1,12,34,32,16,5,1,1617,0,97,1.66E-04,1.94E-06,490000
1,8,29,36,19,6,1,2601,0,55,4.65E-04,9.02E-07,242000
0,7,18,20,15,16,23,553,1,14,2.24E-03,2.19E-07,4310000
0,3,23,44,24,6,0,274,1,3,1.08E-03,3.07E-07,5410000
0,5,23,35,25,11,2,390,0,6,7.08E-05,3.37E-08,4640000
0,2,13,25,28,21,11,2422,1,11,9.10E-05,5.69E-07,267000
0,4,28,38,21,8,1,260,0,29,1.85E-03,1.50E-07,267000
0,3,12,29,33,20,3,286,0,10,6.82E-05,4.41E-08,6460000
0,2,13,32,32,17,4,3097,0,4,2.56E-03,2.50E-08,32200
0,2,15,35,31,14,2,3289,0,8,1.06E-03,8.17E-08,386000
0,2,11,23,29,24,11,3087,1,9,4.38E-03,1.81E-07,84300
1,10,38,34,13,3,0,675,0,30,9.89E-04,5.66E-07,78100
0,9,30,35,19,6,1,1322,0,9,5.26E-04,3.54E-08,9030000
0,3,17,35,28,13,3,2769,0,7,4.57E-03,3.13E-08,33700
1,10,30,33,18,8,2,1915,0,34,2.72E-04,3.97E-07,961000
0,6,28,40,20,5,1,598,0,30,9.34E-04,3.02E-07,48200
0,4,16,34,31,12,1,213,1,9,4.90E-04,7.59E-07,10790000
0,8,31,35,20,6,1,1328,0,37,2.17E-04,9.21E-07,58500
0,4,23,36,24,11,2,1587,0,25,2.85E-04,6.56E-07,34500
0,3,21,38,26,9,1,1356,1,6,1.02E-05,1.59E-07,35600
0,2,18,38,28,11,2,2781,1,1,4.76E-03,7.23E-08,73200
0,5,23,38,24,7,1,1764,0,15,1.28E-03,1.63E-07,78300
0,10,25,34,22,8,1,996,0,16,7.83E-05,3.67E-07,1790000
1,14,29,28,16,8,3,3208,0,71,1.28E-03,8.94E-07,460000
0,6,30,39,19,5,0,755,0,5,2.23E-03,1.46E-07,751000
1,14,35,29,15,5,1,344,0,65,1.85E-03,1.67E-06,4840000
0,5,30,35,21,8,1,1887,0,70,7.11E-05,7.22E-07,954000
0,6,20,33,27,12,2,1210,0,32,7.72E-04,6.45E-07,1160000
0,5,24,25,18,17,11,3026,0,50,1.11E-03,1.01E-06,39300
1,9,36,35,14,4,0,514,0,19,5.30E-04,2.15E-07,5410000
0,11,37,36,12,3,0,3566,0,16,2.56E-03,2.08E-07,407000
0,0,4,11,15,22,48,3972,1,18,2.54E-03,1.35E-06,18000
1,12,32,34,16,4,0,554,0,7,1.10E-03,1.02E-07,1660000
1,5,24,41,23,5,0,3248,0,9,4.83E-04,1.30E-07,134000
0,3,19,40,28,9,1,458,1,2,4.82E-05,3.86E-07,2350000
0,1,7,27,38,23,4,2991,1,1,3.72E-03,4.54E-08,125000
0,1,14,40,30,12,2,1697,1,2,4.86E-04,4.69E-07,200000
0,4,19,34,27,13,3,3227,0,11,1.54E-03,8.78E-08,82800
0,8,29,40,18,4,0,363,1,3,4.92E-04,5.82E-07,7640000
0,4,21,32,22,13,7,70,1,14,1.30E-03,1.56E-06,13700000
0,3,17,37,28,12,2,2819,1,9,6.40E-04,1.13E-06,6390
0,4,19,27,21,16,13,3972,1,3,1.50E-03,5.28E-07,98000
0,1,16,47,29,7,1,2197,1,1,5.66E-04,5.08E-08,66200
0,6,25,36,23,8,1,666,0,81,6.03E-05,1.54E-06,3540000
0,1,9,27,31,25,7,3626,1,1,4.85E-03,5.25E-08,54700
1,12,32,34,16,5,1,865,0,29,5.19E-04,2.16E-07,724000
0,2,18,41,28,9,1,2289,0,5,1.14E-03,4.02E-08,762000
0,5,12,20,32,26,5,641,0,13,2.37E-03,4.99E-08,1980000
0,4,29,40,21,6,1,1623,0,80,3.11E-05,2.13E-06,1250000
1,6,32,38,18,5,0,305,0,14,1.32E-03,1.23E-07,3590000
0,2,11,24,31,25,8,1864,0,8,2.41E-03,2.69E-08,79500
0,2,16,33,29,16,4,1798,1,8,6.36E-04,6.17E-07,20000
0,6,29,34,21,8,1,2191,0,19,5.44E-04,4.15E-07,412000
1,8,29,36,20,6,1,1822,0,8,7.22E-04,1.15E-07,266000
0,2,21,41,26,9,1,2544,1,3,3.41E-04,6.09E-07,135000
0,2,13,32,32,17,3,1537,0,16,5.83E-03,7.21E-08,248000
0,7,33,37,17,5,0,1186,0,44,1.17E-03,8.04E-07,701000
1,7,19,27,24,17,5,332,0,68,1.10E-03,7.01E-07,2060000
1,22,32,26,14,5,1,571,1,34,2.17E-04,2.29E-06,7910000
0,4,23,36,26,10,1,856,0,18,4.69E-04,1.24E-07,89900
0,3,22,43,25,7,1,1536,0,16,3.88E-04,9.27E-08,11100
1,6,28,38,21,6,1,561,0,12,8.50E-04,1.99E-07,3170000
0,3,19,39,29,9,1,2133,0,24,1.16E-03,2.93E-07,9220
0,4,17,30,27,17,5,114,0,20,1.45E-03,2.57E-07,476000
0,2,17,33,28,16,4,2687,1,2,2.95E-04,5.64E-08,292000
0,1,11,33,25,22,7,2680,0,6,8.38E-03,2.28E-08,31900
0,4,18,32,29,15,2,329,1,15,6.80E-04,7.37E-07,8510000
0,6,23,37,24,8,1,3102,0,58,3.39E-04,7.22E-07,63900
0,4,20,34,27,13,2,3334,0,19,1.15E-03,1.68E-07,63900
0,2,16,39,29,12,1,2096,1,5,6.05E-03,1.96E-07,306000
0,3,24,38,25,9,1,3597,0,15,3.90E-05,1.03E-07,95000
0,2,16,39,29,12,2,2868,0,100,6.21E-05,1.89E-06,300000
3,17,31,29,15,4,0,872,0,80,7.21E-04,2.02E-06,1290000
0,1,9,29,34,22,5,2316,1,2,1.11E-02,8.44E-09,208000
0,4,22,39,25,8,1,2635,0,14,2.82E-04,1.62E-07,461000
1,5,17,31,29,15,3,282,0,7,3.07E-04,8.45E-08,4860000
0,0,4,17,28,35,15,3506,1,3,3.04E-03,8.54E-08,2250
0,5,20,33,27,13,2,2287,0,10,3.44E-03,2.21E-08,404000
1,8,26,33,19,10,2,1236,0,26,4.92E-04,2.00E-07,1370000
0,2,14,42,31,10,1,1613,1,1,5.24E-04,1.09E-08,276000
0,5,30,38,20,6,1,1306,0,33,5.73E-05,4.52E-07,1640000
0,7,26,32,21,11,2,3001,0,24,1.05E-04,2.77E-07,116000
0,1,11,36,36,14,1,2361,2,0,1.06E-03,4.50E-07,827000
0,2,15,24,22,25,13,1699,1,10,3.13E-03,1.48E-07,46300
0,4,22,32,26,13,2,2301,1,6,1.41E-04,1.22E-06,43900
2,6,19,29,24,15,4,48,0,23,1.74E-03,1.94E-07,11500000
0,2,18,39,28,10,2,2510,0,17,1.53E-03,1.67E-07,25700
0,3,26,41,23,6,1,3485,1,6,1.58E-04,4.88E-07,19600
0,6,24,36,23,9,2,3427,0,7,5.30E-05,1.70E-07,31300
0,4,14,22,22,23,15,1652,1,23,1.11E-03,1.52E-06,14200
0,5,27,38,21,7,1,960,0,21,3.98E-04,2.02E-07,2250000
0,4,22,37,27,9,1,2002,0,10,2.44E-03,4.39E-08,329000
0,3,18,39,27,10,2,2386,0,4,7.14E-03,2.15E-08,95300
0,2,17,41,28,10,2,2306,1,3,1.86E-03,2.39E-07,48800
0,2,11,32,37,17,2,1792,1,1,1.26E-03,1.34E-07,380000
0,4,16,26,25,20,8,792,0,31,1.30E-03,3.29E-07,2310000
0,7,31,38,18,4,0,2567,0,22,2.49E-03,2.58E-07,404000
1,8,27,27,17,13,7,112,0,22,1.45E-04,1.31E-07,13550000
0,3,13,35,34,14,2,2276,2,0,3.05E-04,2.91E-07,509000
0,7,24,35,24,9,1,3168,0,23,2.36E-03,2.91E-07,101000
1,6,20,27,28,16,3,3546,0,89,1.15E-04,1.90E-06,88500
1,5,24,35,25,9,1,228,0,10,2.96E-03,2.14E-07,6960000
0,2,18,36,27,15,3,2896,1,5,3.99E-05,5.62E-07,29100
0,0,4,25,44,23,4,3595,2,0,5.78E-04,7.87E-09,141000
1,6,25,36,23,9,1,109,0,30,1.58E-03,2.34E-07,10150000
0,2,13,27,29,21,7,1265,1,9,1.29E-03,9.03E-07,504000
0,2,17,38,29,12,1,2469,1,8,1.26E-04,6.93E-07,221000
0,3,14,33,33,15,2,2658,1,6,3.80E-05,1.04E-06,25600
0,5,25,41,22,6,1,3075,0,27,1.55E-03,3.72E-07,25600
0,1,12,28,28,21,9,2778,1,5,1.81E-03,5.61E-08,92200
0,1,5,22,33,28,10,3467,0,2,4.15E-03,1.27E-08,1120
0,2,16,31,31,17,3,1321,1,4,4.97E-04,5.71E-07,7950
0,6,24,35,24,9,1,1058,1,22,1.48E-04,2.08E-06,2080000
0,9,37,34,13,5,1,1913,0,25,9.90E-04,2.64E-07,188000
0,3,19,39,29,10,1,1658,0,25,4.68E-03,2.10E-07,9540
0,6,23,35,24,11,2,1876,0,54,3.91E-04,1.01E-06,30200
0,4,22,41,24,7,1,2684,0,16,3.40E-03,1.05E-07,218000
0,5,21,33,27,12,2,1355,0,4,7.11E-05,3.69E-08,530000
0,8,21,31,26,12,2,1566,0,24,5.59E-04,4.51E-07,10300
0,5,30,38,21,6,1,258,0,20,2.79E-05,1.67E-07,3080000
1,10,28,32,19,8,2,2017,0,54,4.04E-04,2.60E-06,418000
0,1,9,27,36,23,4,1069,2,0,4.91E-04,8.43E-07,237000
0,6,23,35,26,10,1,1542,0,13,9.58E-04,7.00E-08,903000
0,7,30,38,19,5,1,2556,0,34,1.86E-04,6.93E-07,339000
0,3,22,38,25,10,2,3398,0,13,9.28E-04,2.41E-07,1520000
2,16,34,29,14,4,1,1898,0,54,1.83E-04,2.24E-06,84500
0,3,27,38,23,7,1,1128,1,4,1.12E-03,7.04E-07,764000
1,12,30,32,18,6,1,991,0,23,1.06E-03,3.37E-07,1600000
0,2,12,28,32,21,5,1648,1,1,8.62E-04,9.94E-07,536000
0,4,25,41,22,7,1,3624,0,14,3.54E-03,2.50E-07,37500
0,6,23,33,23,12,3,3814,0,21,2.11E-03,1.61E-07,46800
0,6,22,35,24,11,2,2491,1,11,6.84E-04,1.31E-06,2130000
0,3,20,40,28,8,1,720,1,4,1.65E-03,1.63E-07,1160000
0,2,14,35,35,13,1,3477,1,1,2.69E-04,1.75E-07,49100
0,6,28,39,20,6,1,421,0,15,6.98E-04,1.81E-07,3030000
0,5,22,35,25,11,1,2403,0,19,2.41E-03,1.32E-07,32900
1,13,38,32,13,3,0,1606,0,25,1.83E-03,3.00E-07,991000
0,2,16,37,30,13,2,3011,0,8,1.64E-03,5.93E-08,34200
0,5,21,32,25,14,3,1503,0,56,5.25E-04,4.89E-07,38400
0,6,27,34,21,10,2,1130,0,55,1.35E-03,7.69E-07,445000
0,6,28,36,21,8,1,3405,1,11,8.19E-05,1.15E-06,48500
0,6,17,33,29,13,2,2760,0,3,8.89E-05,1.09E-07,63100
0,4,27,38,22,7,1,1360,0,27,4.52E-04,4.40E-07,25900
0,8,36,33,17,6,1,3379,1,11,4.54E-04,2.16E-06,240000
0,7,28,34,21,8,1,592,1,45,2.65E-05,4.50E-06,9820000
0,2,9,25,33,24,6,945,0,7,2.97E-03,2.85E-08,31700
0,5,26,35,24,9,1,200,0,8,8.62E-05,1.11E-07,3910000
0,5,25,37,22,9,2,2448,0,31,1.80E-03,2.50E-07,239000
1,7,26,36,21,8,1,72,0,20,1.04E-02,3.08E-07,10570000
1,9,28,34,20,8,1,1643,0,50,6.74E-05,5.92E-07,668000
1,4,17,28,26,18,6,1800,0,48,1.69E-03,4.72E-07,1280000
0,4,19,33,27,14,3,232,1,6,1.00E-03,9.16E-07,6080000
0,8,34,35,17,5,1,1648,0,34,1.38E-04,4.95E-07,62100
0,4,22,37,26,10,1,40,0,22,1.53E-03,1.96E-07,16210000
0,2,14,32,33,16,2,2868,1,5,7.27E-04,3.04E-07,161000
0,4,16,29,29,18,4,673,0,27,9.15E-05,3.44E-07,1670000
1,10,31,34,18,7,1,266,0,51,4.11E-04,9.65E-07,3710000
0,6,33,38,17,5,1,2862,0,13,8.97E-04,2.04E-07,34800
0,2,16,37,31,13,2,945,0,13,6.81E-04,1.95E-07,17500
0,9,26,32,21,9,1,1035,0,58,3.83E-03,4.44E-07,73300
0,2,16,38,29,12,2,2929,0,5,5.68E-04,1.13E-07,107000
1,14,32,30,17,6,1,1255,0,50,1.84E-03,9.98E-07,1430000
0,2,10,30,34,20,4,2036,1,4,8.71E-03,2.80E-07,17900
0,3,25,39,24,9,1,1736,0,19,5.78E-04,3.49E-07,291000
0,4,20,35,26,12,2,1215,0,21,2.30E-03,1.92E-07,1960000
0,3,16,26,24,19,12,1527,0,28,1.60E-03,4.56E-07,240000
6,26,32,22,10,3,0,19,0,51,7.66E-04,1.32E-06,4800000
1,8,24,33,23,10,1,577,0,12,3.87E-03,2.89E-07,1040000
1,10,23,29,24,11,2,106,0,29,6.79E-04,5.88E-07,13270000
0,1,9,26,37,23,3,1869,1,5,2.02E-03,1.21E-07,66800
0,2,10,25,35,23,4,2415,1,5,3.87E-04,4.25E-07,209000
0,2,12,27,30,22,7,3154,0,8,7.40E-04,5.16E-08,36500
0,6,26,36,22,8,1,218,0,16,6.05E-04,1.40E-07,5250000
1,13,32,31,16,6,1,2789,0,64,4.60E-04,9.89E-07,386000
0,3,13,29,32,19,4,3698,0,32,7.14E-06,2.26E-07,19900
0,7,27,34,22,9,1,3357,0,81,2.57E-05,1.54E-06,3930000
1,6,25,34,23,10,1,953,0,30,1.69E-04,3.19E-07,1390000
2,19,39,28,10,3,0,276,0,26,1.64E-03,4.60E-07,8940000
0,2,11,30,33,21,4,1342,0,14,1.16E-04,1.06E-07,596000
0,5,20,34,27,12,2,916,0,26,1.20E-03,3.75E-07,1830000
0,2,10,19,19,23,26,3194,0,21,1.85E-03,2.09E-07,335000
1,8,30,36,18,6,1,2339,0,28,1.47E-03,3.80E-07,335000
0,4,20,35,27,11,2,1785,0,43,7.56E-05,4.59E-07,524000
0,3,19,40,28,9,1,1953,1,3,1.53E-03,2.36E-07,524000
1,11,22,25,21,15,5,1158,0,55,1.13E-03,7.83E-07,566000
0,6,24,35,24,10,1,2121,0,23,2.67E-03,4.35E-07,322000
1,4,29,42,18,5,1,2077,0,9,3.14E-03,3.54E-08,585000
1,5,24,36,23,9,1,309,0,30,1.50E-04,6.13E-07,4150000
0,3,20,33,27,14,2,999,0,10,5.19E-04,1.83E-08,1230000
1,10,31,34,18,6,1,37,0,16,2.36E-03,8.31E-08,25270000
2,21,36,26,11,4,1,2284,0,80,2.38E-04,2.05E-06,1190000
1,12,23,26,21,13,4,1853,0,117,2.39E-04,2.38E-06,500000
0,2,14,31,31,19,4,2360,0,14,6.46E-03,1.80E-07,57000
0,2,13,33,33,17,3,1942,1,12,1.14E-03,2.15E-07,525000
0,2,14,32,32,17,3,1845,1,6,1.35E-04,1.59E-06,1150000
0,3,16,31,30,16,3,3241,0,21,4.01E-04,1.88E-07,355000
0,2,10,24,32,26,6,854,1,2,1.30E-03,1.89E-07,2010000
1,16,33,28,15,6,1,2313,0,50,5.15E-04,7.97E-07,137000
1,4,19,27,26,18,5,1456,0,46,2.11E-04,6.06E-07,170000
0,2,9,26,32,24,8,532,1,2,1.58E-03,7.27E-08,43200
0,5,16,24,27,21,6,1608,0,36,2.65E-04,4.59E-07,819000
0,3,17,30,28,17,4,69,1,9,6.54E-04,7.67E-07,2650000
1,6,17,22,20,21,14,45,0,16,5.91E-03,7.45E-08,13050000
0,2,13,31,33,18,3,2350,0,4,6.91E-05,2.98E-08,121000
0,5,29,36,20,7,1,923,0,20,3.99E-04,4.23E-07,1200000
1,14,35,31,14,5,1,744,0,30,3.90E-04,6.00E-07,3470000
1,4,22,35,26,11,2,2789,0,17,3.42E-03,1.40E-07,415000
0,2,19,36,27,13,2,2583,1,4,4.10E-04,8.85E-07,6330
2,14,36,30,13,4,0,3,0,58,3.67E-04,7.85E-07,20440000
0,4,20,33,27,13,2,1174,1,4,1.30E-04,6.53E-07,2620000
0,5,21,32,26,14,3,221,1,2,5.28E-05,2.79E-07,13590000
1,8,31,34,19,6,1,2535,0,68,1.85E-03,1.56E-06,383000
1,5,18,30,26,16,3,89,0,10,3.39E-03,1.70E-07,11640000
1,7,19,22,19,18,15,2244,0,91,1.88E-03,1.52E-06,494000
1,16,32,30,16,6,1,2280,1,45,3.51E-04,5.50E-06,842000
0,5,19,33,28,13,2,1501,0,41,1.11E-04,9.19E-07,34800
1,4,23,36,24,10,1,226,0,11,3.83E-03,1.16E-07,7380000
1,7,29,35,20,7,1,42,0,3,1.64E-03,3.28E-07,22290000
1,6,14,18,17,24,20,168,0,19,2.56E-03,8.04E-08,17620000
0,8,31,34,19,7,1,2701,0,92,2.70E-04,1.36E-06,463000
1,5,26,37,22,8,1,128,0,12,3.34E-03,1.94E-07,15260000
1,5,18,31,28,15,2,415,1,6,4.37E-04,8.15E-07,6490000
1,9,30,34,19,7,1,1965,0,22,1.45E-03,4.90E-07,130000
1,8,33,34,17,7,1,913,0,11,1.59E-03,2.40E-07,7310000
1,9,25,29,22,12,3,3591,0,48,3.03E-03,6.24E-07,150000
1,5,20,35,26,12,2,454,1,7,1.93E-04,1.03E-06,3660000
1,8,29,34,19,8,1,526,0,22,2.19E-03,2.54E-07,333000
1,7,26,31,21,11,2,1102,0,36,4.80E-04,6.52E-07,731000
1,2,17,35,30,13,2,1894,1,5,7.80E-04,6.85E-07,828000
1,8,30,36,18,6,1,2711,0,13,2.63E-03,1.49E-07,496000
1,9,33,33,16,7,1,2776,0,29,2.03E-03,3.33E-07,471000
1,5,26,34,22,10,2,1618,1,8,3.41E-04,4.72E-07,683000
1,2,10,29,33,21,4,1492,2,0,2.83E-03,2.19E-08,491000
1,6,21,32,25,12,2,1638,0,15,2.59E-03,1.75E-07,92300
1,5,16,24,25,22,8,2435,0,39,6.21E-04,3.64E-07,96500
1,14,38,30,12,4,0,2735,0,34,7.61E-04,4.57E-07,266000
1,9,26,30,21,10,2,312,0,60,1.27E-05,8.64E-07,25270000
1,4,21,32,26,14,3,2551,1,5,7.54E-04,7.02E-07,73900
1,1,8,19,31,30,10,3956,1,4,4.88E-04,2.42E-07,4460
1,3,15,29,27,19,7,686,1,5,1.30E-03,2.29E-07,599000
1,6,16,23,24,21,9,1152,0,50,1.74E-03,4.78E-07,2310000
1,4,20,31,26,15,3,3679,0,15,2.71E-03,1.11E-07,61700
1,6,25,33,22,11,2,2281,1,19,1.85E-04,1.25E-06,881000
1,6,25,33,22,11,2,863,1,3,2.13E-04,1.23E-07,97900
1,6,29,34,21,8,1,820,0,32,6.76E-04,3.94E-07,1190000
1,7,23,34,24,10,1,528,0,22,7.30E-05,6.45E-07,3660000
1,4,18,30,28,16,3,2823,0,26,1.60E-04,4.98E-07,418000
1,8,26,32,21,10,2,1463,0,33,1.34E-03,7.42E-07,1930000
1,5,22,34,25,11,2,594,0,13,9.79E-04,1.29E-07,1360000
1,10,20,24,24,17,3,304,0,34,2.05E-03,3.52E-07,4190000
1,3,13,24,30,24,5,1114,1,5,1.57E-04,1.74E-06,1310000
1,3,17,33,27,16,3,650,1,8,1.10E-04,3.19E-07,5760000
1,4,22,36,25,11,2,1248,0,23,2.03E-04,3.37E-07,41900
1,10,28,31,19,9,2,1679,0,56,4.26E-04,8.70E-07,114000
1,7,22,28,25,14,4,1952,0,37,1.05E-03,6.35E-07,181000
3,13,32,29,16,7,1,2228,0,27,1.17E-03,6.39E-07,554000
1,13,34,30,15,6,1,32,0,55,4.44E-04,1.09E-06,11990000
1,10,25,27,19,12,5,119,0,15,3.14E-04,1.29E-07,14130000
0,2,18,39,27,12,2,1121,0,5,1.30E-03,3.80E-08,7230
1,7,29,35,20,8,1,25,0,10,2.99E-03,1.67E-07,16700000
1,4,17,30,27,17,4,2795,0,11,6.25E-03,9.11E-08,96900
1,9,29,33,19,7,1,369,0,18,2.93E-03,2.04E-07,2900000
1,4,22,37,24,10,2,963,0,8,2.73E-03,2.59E-08,54200
1,6,25,34,23,9,1,513,0,23,8.24E-04,3.97E-07,4490000
1,1,11,29,33,21,4,3307,1,1,1.49E-04,2.27E-07,64700
1,5,28,38,20,7,1,1256,0,13,6.21E-04,1.33E-07,53100
1,3,17,33,29,15,3,3647,0,19,3.37E-03,2.01E-07,11500
1,8,30,33,19,7,1,3451,0,9,2.54E-03,8.12E-08,123000
1,8,29,34,20,8,1,775,1,6,4.72E-04,4.29E-07,1870000
1,16,37,28,12,4,1,82,0,27,3.72E-03,3.72E-07,15650000
1,2,11,24,31,26,6,855,0,3,9.30E-04,1.94E-08,846000
1,8,32,32,18,8,2,1961,0,68,1.23E-03,1.23E-06,123000
1,9,32,32,18,7,1,552,0,39,6.57E-04,2.24E-06,1970000
1,9,35,34,16,5,1,1196,0,19,7.08E-04,3.37E-07,609000
1,4,21,30,24,15,5,1983,0,16,4.03E-03,1.63E-07,75000
1,2,13,29,31,20,3,1544,1,4,2.75E-04,1.30E-07,350000
1,4,15,26,29,21,4,435,0,11,2.64E-03,9.16E-08,4830000
1,9,35,34,16,5,1,449,0,14,1.67E-03,1.71E-07,7070000
1,4,16,30,30,17,2,428,0,4,5.30E-03,1.10E-08,2750000
1,3,13,27,30,22,4,2320,1,12,2.22E-03,2.56E-07,431000
1,5,23,31,24,14,2,2202,0,24,2.03E-03,2.59E-07,218000
1,3,23,39,24,9,1,3473,0,20,3.53E-04,1.24E-07,118000
